starting point,code,destination point
qlt,pHxIdM8,Abnet
qlt,P9J4moq,Abnet
qlt,BcIQRGf,Abnet
qlt,roGL5B8,Abnet
qlt,hqRHi5n,Riche
qlt,UBcrgSV,Riche
qlt,0dVBdYy,Leghar
qlt,f9sHJ7e,Leghar
qlt,CMdGjP7,Leghar
qlt,wiqqnTp,Nifas Silk 2
qlt,ftb7fdH,Nifas Silk 2
qlt,SVGC7Jj,Sebategna
qlt,koaJRrY,Sebategna
qlt,yMiAP1R,Autobus Tera
qlt,Bury0JC,Autobus Tera
qlt,nSMFXyU,Autobus Tera
qlt,NdWPW8z,Autobus Tera
qlt,tYuCnCo,Autobus Tera
qlt,uOfjgVE,Autobus Tera
qlt,VhWvzWF,Sebategna
qlt,nrXxerj,Sebategna
qlt,v4IJTz2,Sebategna
qlt,jyplVi8,Sebategna
qlt,eMoc6eH,Menilik Square
qlt,goL54MU,Menilik Square
qlt,f0ROWEK,Menilik Square
qlt,IwY3k9D,Nifas Silk 1
qlt,T4DB8ia,Nifas Silk 1
qlt,GK6K0IW,Nifas Silk 1
qlt,hi1MiIr,Saris
qlt,pIbcOAF,Saris
qlt,ZJ8GJmd,Saris
qlt,TMiw7wz,Saris
qlt,7D5ytBs,Mexico
qlt,2Vu5ovQ,Mexico
qlt,e8rbDAL,Mexico
qlt,yfOGULV,Sebategna
qlt,0ophwAw,Sebategna
qlt,reFgXKn,Sebategna
qlt,2MpBGoj,Menilik Square
qlt,OVEOZMo,Leghar
qlt,ed7v4OH,Leghar
qlt,ipmMLSY,Leghar
qlt,ROM5h59,Leghar
qlt,BPFR66s,Leghar
qlt,6aCYG0g,Leghar
qlt,4EK32pd,Leghar
qlt,bggYv3R,Leghar
qlt,rJlFg8b,Leghar
qlt,uVw6Yj9,Darmar
qlt,NMskB9t,Darmar
